gene_id	gene_name	HD1	HD2	HD3	HND1	HND2	HND3
ENSG00000002822	MAD1L1	175.213	795.781	333.078	368.161	635.64	180.736
ENSG00000002834	LASP1	719.224	1437.001	111.316	19.144	961.999	71.724
ENSG00000002919	SNX11	99.858	606	584.864	396.555	344	166.856
ENSG00000002933	TMEM176A	399.232	7	412.558	127.781	49.999	94.776
ENSG00000003056	M6PR	129.92	1686	462.324	147.723	1555.999	107.15
ENSG00000003096	KLHL13	77.191	45	95.32	70.892	99.999	196.127
ENSG00000003137	CYP26B1	100.453	178	74.335	205.542	242	135.09
ENSG00000003147	ICA1	79.455	240	247.096	1008.205	57	54.29
ENSG00000003249	DBNDD1	101.537	167	170.144	137.771	227.999	133.641
ENSG00000003393	ALS2	437.678	965.002	15.253	505.073	792.002	178.997
ENSG00000003400	CASP10	42.821	1246.001	215.937	61.475	1042.999	115.522
ENSG00000003402	CFLAR	75.405	5572.999	968.166	56.93	4593.001	81.133
ENSG00000003436	TFPI	250.819	177	106.757	123.714	207.001	515.089
ENSG00000003509	NDUFAF7	1234.43	194.001	296.902	254.626	200.001	180.174
ENSG00000003756	RBM5	611.199	1853.471	73.96	196.708	2259.999	276.694
ENSG00000003987	MTMR7	245.718	4	122.29	797.06	5	175.462
ENSG00000003989	SLC7A2	10.917	2498	73.437	804.305	1430.999	91.037
ENSG00000004059	ARF5	182.966	2118.519	93.795	219.081	1664.568	176.078
ENSG00000004139	SARM1	416.516	485	85.808	158.838	321.999	222.859
ENSG00000004142	POLDIP2	91.874	1937	233.667	392.876	1534	139.606
ENSG00000004399	PLXND1	42.195	1177.001	26.816	127.366	2007.001	137.846
ENSG00000004455	AK2	220.84	2858.967	163.238	37.83	2121.9	157.056
ENSG00000004468	CD38	280.017	5	128.217	7.336	24	292.674
ENSG00000004478	FKBP4	351.311	2469	156.337	39.021	2028	401.386
ENSG00000004487	KDM1A	104.504	2684.999	637.821	205.73	2868.001	214.636
ENSG00000004534	RBM6	40.822	1155.529	855.959	138.753	1048.001	211.196
ENSG00000004660	CAMKK1	80.344	118	106.614	156.564	473	159.125
ENSG00000004700	RECQL	281.254	1040	35.236	143.402	766.001	819.202
ENSG00000004766	VPS50	102.362	515.998	411.917	804.8	520.998	285.717
ENSG00000004776	HSPB6	1024.123	22	370.046	220.496	99	83.611
ENSG00000004777	ARHGAP33	80.221	65.999	67.64	11.87	79	170.515
ENSG00000004779	NDUFAB1	278.693	368	202.191	109.167	290	119.451
ENSG00000004799	PDK4	270.644	110	385.371	35.092	677	95.778
ENSG00000004809	SLC22A16	255.644	2	403.805	83.298	1	203.961
ENSG00000004838	ZMYND10	402.409	8	284.625	151.87	5	564.586
ENSG00000004846	ABCB5	49.734	1	154.398	133.637	29	192.557
ENSG00000004848	ARX	306.475	0	415.841	274.16	8	253.987
ENSG00000004864	SLC25A13	113.284	389	294.425	284.857	588.001	164.513
ENSG00000004866	ST7	36.4	296.841	272.335	264.247	358.922	458.102
ENSG00000004897	CDC27	124.178	1575.999	413.176	299.698	1599.939	19.737
ENSG00000004939	SLC4A1	353.554	0	376.885	381.933	0	307.236
ENSG00000004948	CALCR	132.679	1	256.283	103.449	3	62.258
ENSG00000004961	HCCS	529.655	456.001	28.845	253.122	384.001	160.024
ENSG00000004975	DVL2	205.902	758.001	170.562	59.367	772.999	54.784
ENSG00000005001	PRSS22	46.397	220.999	491.975	211.516	160.001	523.582
ENSG00000005007	UPF1	303.393	6037.002	111.382	49.37	6486.999	180.961
ENSG00000005020	SKAP2	31.072	162	3.13	24.088	168	8.815
ENSG00000005022	SLC25A5	386.301	4244	271.364	464.591	3298.001	208.902
ENSG00000005059	MCUB	115.288	416.999	62.904	217.648	415.002	127.227
ENSG00000005073	HOXA11	69.564	0	128.269	198.184	0	67.722
ENSG00000005075	POLR2J	275.448	408.521	262.856	118.981	303.623	142.552
ENSG00000005100	DHX33	41.277	905	175.925	200	705.999	96.931
ENSG00000005102	MEOX1	98.937	35	205.765	240.953	83	151.882
ENSG00000005108	THSD7A	259.135	21	233.868	617.492	81	26.949
ENSG00000005156	LIG3	509.823	1361	283.419	274.737	1112	929.683
ENSG00000005175	RPAP3	9.548	684.001	77.394	97.443	622	37.959
ENSG00000005187	ACSM3	290.703	51.999	266.116	74.59	39	36.02
ENSG00000005189	REXO5	309.466	44	108.989	209.813	34	131.217
ENSG00000005194	CIAPIN1	92.657	904.988	792.04	321.755	734.999	599.848
ENSG00000005206	SPPL2B	111.159	412	213.388	135.454	417	135.323
ENSG00000005238	ATOSB	175.1	1120.001	101.575	226.623	962.001	138.424
ENSG00000005243	COPZ2	280.023	266.999	517.544	153.119	359	235.561
ENSG00000005249	PRKAR2B	305.182	46	70.832	91.869	66.999	121.42
ENSG00000005302	MSL3	240.879	267.999	238.91	81.474	202	329.933
ENSG00000005339	CREBBP	61.988	6895	213.299	64.773	6670.999	136.607
ENSG00000005379	TSPOAP1	21.798	333	163.094	210.59	301	20.356
ENSG00000005381	MPO	50.602	9	39.223	102.686	3	620.669
ENSG00000005421	PON1	20.795	0	318.333	249.776	0	166.033
ENSG00000005436	GCFC2	69.471	336	44.783	405.092	407.999	156.768
ENSG00000005448	WDR54	270.355	294	243.695	120.582	224	50.446
ENSG00000005469	CROT	89.172	1747.001	64.512	219.676	1168	160.975
ENSG00000005471	ABCB4	164.057	3	258.475	68.596	18	309.145
ENSG00000005483	KMT2E	47.719	3699.998	431.605	159.489	4012.002	726.676
ENSG00000005486	RHBDD2	126.036	3299.999	168.994	80.079	2822.001	12.483
ENSG00000005513	SOX8	117.415	1	55.791	670.795	16	9.759
ENSG00000005700	IBTK	102.049	3377	185.292	127.443	3150	283.592
ENSG00000005801	ZNF195	163.716	359.998	94.173	331.385	307	59.814
ENSG00000005810	MYCBP2	114.232	20083.001	35.383	144.677	13614.999	237.243
ENSG00000005812	FBXL3	701.696	1966	38.104	257.502	1492	182.846
ENSG00000005844	ITGAL	70.876	16	6.753	210.14	35.001	315.398
ENSG00000005882	PDK2	445.248	1670	242.475	62.522	1464	285.997
ENSG00000005884	ITGA3	424.628	9129.999	229.407	120.159	7202	251.812
ENSG00000005889	ZFX	151.637	1581.001	23.28	150.182	1154.001	538.076
ENSG00000005893	LAMP2	410.412	8054	146.276	444.383	7720	300.353
ENSG00000005961	ITGA2B	30.745	15	82.097	6.669	20	157.473
ENSG00000005981	ASB4	18.401	1	33.533	78.775	1	25.192
ENSG00000006007	GDE1	140.478	3471	128.389	61.078	2324.999	141.282
ENSG00000006015	REX1BD	282.068	318.001	19.168	111.65	389	31.281
ENSG00000006016	CRLF1	202.031	4084	72.93	376.97	2702.999	335.289
ENSG00000006025	OSBPL7	283.136	92	27.49	403.211	180	124.351
ENSG00000006042	TMEM98	278.547	260.001	278.111	500.283	666	359.524
ENSG00000006047	YBX2	24.086	28	494.389	210.203	77	39.138
ENSG00000006059	KRT33A	14.665	10	95.681	75.137	9	163.775
ENSG00000006062	MAP3K14	129.038	242.001	276.221	91.064	300.999	150.956
ENSG00000006071	ABCC8	418.764	0	244.873	95.366	0	214.664
ENSG00000006116	CACNG3	92.943	0	424.961	94.163	2	1077.166
ENSG00000006118	TMEM132A	216.954	70	185.766	93.569	77	187.313
ENSG00000006125	AP2B1	116.041	6661.997	74.901	8.089	4926.999	95.126
ENSG00000006128	TAC1	134.822	59	133.896	448.975	17	133.022
ENSG00000006194	ZNF263	238.915	1058.411	47.213	31.112	787.831	244.438
ENSG00000006210	CX3CL1	159.913	236	85.126	550.619	583	353.281
ENSG00000006282	SPATA20	779.472	555	188.783	256.921	746	537.995
ENSG00000006283	CACNA1G	46.82	17	85.142	109.883	53	333.771
ENSG00000006327	TNFRSF12A	248.671	206	357.549	157.482	189	112.914
ENSG00000006377	DLX6	265.544	0	152.878	358.955	0	118.386
ENSG00000006432	MAP3K9	351.636	1174	260.905	866.316	442.999	188.531
ENSG00000006451	RALA	307.61	1259.001	75.233	142.378	1069	148.71
ENSG00000006453	BAIAP2L1	188.887	1525.999	132.257	174.928	1076	243.552
ENSG00000006459	KDM7A	93.079	1582	430.86	367.182	1823.001	389.333
ENSG00000006468	ETV1	146.986	432	314.783	79.9	270.001	92.253
ENSG00000006530	AGK	319.534	517.999	159.048	78.284	496	57.767
ENSG00000006534	ALDH3B1	56.696	755	64.701	161.72	581	122.05
ENSG00000006555	TTC22	247.375	2204.001	75.327	62.069	2498	264.76
ENSG00000006576	PHTF2	27.301	702.001	118.664	334.408	576	69.76
ENSG00000006606	CCL26	88.073	1	135.028	865.75	0	499.414
ENSG00000006607	FARP2	258.89	1528.998	455.102	33.851	1455.001	247.745
ENSG00000006611	USH1C	52.449	0	714.018	247.654	2	117.067
ENSG00000006625	GGCT	115.526	606.997	124.369	313.766	493.001	41.234
ENSG00000006634	DBF4	300.208	142	384.413	398.546	110	33.449
ENSG00000006638	TBXA2R	525.638	9	138.763	556.679	13	97.512
ENSG00000006652	IFRD1	223.353	539.319	33.985	196.839	513.866	463.103
ENSG00000006659	LGALS14	386.319	1	172.323	112.799	0	383.793
ENSG00000006695	COX10	19.262	478.738	151.28	83.452	439.11	216.273
ENSG00000006704	GTF2IRD1	154.45	676	41.331	303.089	663	174.531
ENSG00000006712	PAF1	304.987	1181.001	455.756	135.564	1029	81.291
ENSG00000006715	VPS41	260.265	2776	254.868	447.82	2042.001	35.156
ENSG00000006740	ARHGAP44	66.113	586	95.846	497.742	601.999	24.522
ENSG00000006744	ELAC2	1015.955	1721	52.559	304.856	1428	191.576
ENSG00000006747	SCIN	133.934	6520	64.144	11.649	4354.999	1026.08
ENSG00000006756	ARSD	344.542	2706	351.216	169.374	1872	24.911
ENSG00000006757	PNPLA4	63.026	450	294.505	139.534	448	59.095
ENSG00000006788	MYH13	266.611	0	76.435	110.024	0	57.287
ENSG00000006831	ADIPOR2	17.563	2247.999	189.822	228.952	1773	160.666
ENSG00000006837	CDKL3	312.759	56.759	10.284	906.067	46.67	138.096
ENSG00000007001	UPP2	232.367	1	110.595	102.61	1	490.855
ENSG00000007038	PRSS21	68.224	0	129.721	207.298	1	637.442
ENSG00000007047	MARK4	162.29	1343	61.111	396.08	1337.001	67.607
ENSG00000007062	PROM1	182.755	1	273.489	674.727	8	383.285
ENSG00000007080	CCDC124	560.245	580.001	133.673	440.163	479	227.426
ENSG00000007129	CEACAM21	341.457	2	67.56	276.642	1	45.745
ENSG00000007168	PAFAH1B1	36.51	5371	154.24	173.109	4824.003	61.827
ENSG00000007171	NOS2	90.474	645	398.617	164.092	1629	128.281
ENSG00000007174	DNAH9	202.69	31	377.978	206.776	26	71.541
ENSG00000007202	BLTP2	912.567	5678.001	94.506	70.873	2505.998	84.731
ENSG00000007216	SLC13A2	311.869	0	153.66	283.749	0	195.054
ENSG00000007237	GAS7	159.312	337	47.569	157.102	867.001	76.837
ENSG00000007255	TRAPPC6A	217.727	639	269.39	115.768	359	18.29
ENSG00000007264	MATK	219.058	0	111.815	107.692	5	122.044
ENSG00000007306	CEACAM7	297.139	176	126.139	270.928	328	32.017
ENSG00000007312	CD79B	64.115	2	621.905	289.165	3	346.365
ENSG00000007314	SCN4A	656.017	4	299.216	29.216	1	100.123
ENSG00000007341	ST7L	592.063	380.001	56.38	46.141	224	56.573
ENSG00000007350	TKTL1	66.575	0	603.853	65.644	2	122.356
ENSG00000007372	PAX6	36.908	21220.003	743.974	244.53	20821.001	182.608
ENSG00000007376	RPUSD1	707.468	668	220.733	1220.421	427.999	71.526
ENSG00000007384	RHBDF1	183.247	712	179.611	676.504	590	392.429
ENSG00000007392	LUC7L	249.816	346	452.18	145.099	436	139.679
ENSG00000007402	CACNA2D2	74.289	114	42.051	9.573	203	381.642
ENSG00000007516	BAIAP3	243.083	178.999	30.518	106.281	122.001	91.198
ENSG00000007520	TSR3	51.591	959	330.26	175.85	700	156.286
ENSG00000007541	PIGQ	356.017	656.945	142.664	535.231	568.944	278.859
ENSG00000007545	CRAMP1	48.761	1354.585	238.305	652.274	789.534	405.392
ENSG00000007866	TEAD3	503.05	1909	221.079	24.586	1531	3.253
ENSG00000007908	SELE	201.202	8	255.937	62.058	14	52.977
ENSG00000007923	DNAJC11	36.744	1099.999	483.152	59.739	969.999	116.43
ENSG00000007933	FMO3	142.635	7	317.189	39.79	121	31.909
ENSG00000007944	MYLIP	541.107	1617	655.619	8.029	955	114.552
ENSG00000007952	NOX1	112.642	1	232.559	185.002	1	564.912
ENSG00000007968	E2F2	531.332	542	419.676	241.101	182	179.555
ENSG00000008018	PSMB1	77.328	1774	538.263	1338.317	1502	52.189
ENSG00000008056	SYN1	96.084	1	418.412	158.01	4	209.693
ENSG00000008083	JARID2	485.07	2091	266.176	239.067	2204	161.896
ENSG00000008086	CDKL5	190.893	557.001	64.771	310.948	490.001	93.799
ENSG00000008118	CAMK1G	303.358	5	244.559	199.385	3	425.578
ENSG00000008128	CDK11A	162.854	199.636	207.283	80.903	193.469	94.699
ENSG00000008130	NADK	78.687	1137	300.434	74.094	954.999	846.813
ENSG00000008196	TFAP2B	22.122	1511	193.532	127.589	1468	152.431
ENSG00000008197	TFAP2D	317.158	0	442.93	56.05	0	194.315
ENSG00000008226	DLEC1	183.164	13	110.422	149.163	29	107.349
ENSG00000008256	CYTH3	48.632	1561	151.085	167.032	1624.001	625.392
ENSG00000008277	ADAM22	304.129	3	252.034	51.637	42	18.788
ENSG00000008282	SYPL1	171.46	2854	57.754	63.593	2572.998	94.18
ENSG00000008283	CYB561	195.615	2431	254.418	473.583	1490.001	168.711
ENSG00000008294	SPAG9	154.724	3227	216.448	808.941	3199	132.279
ENSG00000008300	CELSR3	306.123	171	280.423	183.761	93	67.215
ENSG00000008311	AASS	199.698	289.999	559.247	221.708	385	742.043
ENSG00000008323	PLEKHG6	152.832	1452	196.047	136.224	1457.999	399.777
ENSG00000008324	SS18L2	109.756	283	334.349	122.782	241.001	545.611
ENSG00000008382	MPND	133.37	357	56.808	38.731	264.001	56.501
ENSG00000008394	MGST1	579.266	37	237.409	75.344	213.999	199.013
ENSG00000008405	CRY1	267.535	629.999	186.03	76.753	420	148.411
ENSG00000008438	PGLYRP1	166.1	0	312.143	370.689	1	603.741
ENSG00000008441	NFIX	248.689	4201	33.345	52.568	6482.001	120.057
ENSG00000008513	ST3GAL1	288.551	2403.001	278.793	542.517	1573.001	333.704
ENSG00000008516	MMP25	245.936	9	33.106	266.323	9	86.894
ENSG00000008517	IL32	230.492	23.999	102.754	360.853	58.999	32.464
ENSG00000008710	PKD1	47.319	4181.281	130.203	412.566	4170.613	28.893
ENSG00000008735	MAPK8IP2	140.73	303	83.683	62.876	330	55.096
ENSG00000008838	MED24	258.042	1685.001	166.814	338.929	1307	353.695
ENSG00000008853	RHOBTB2	139.171	3698.001	288.248	223.568	1799	370.744
ENSG00000008869	HEATR5B	67.006	1658	188.278	42.129	1493	331.439
ENSG00000008952	SEC62	110.619	2603	619.854	141.931	2479.001	159.494
ENSG00000008988	RPS20	156.115	9304.849	283.424	142.665	7673.967	94.925
ENSG00000009307	CSDE1	313.722	19214.999	179.41	173.376	17133.001	321.887
ENSG00000009335	UBE3C	124.15	2621	41.028	54.937	2313	410.286
ENSG00000009413	REV3L	52.687	1933.999	52.053	63.092	1710.002	190.962
ENSG00000009694	TENM1	229.48	13	55.956	274.716	44	84.818
ENSG00000009709	PAX7	116.342	5	508.905	92.014	11	247.508
ENSG00000009724	MASP2	88.792	0	278.981	127.198	0	23.177
ENSG00000009765	IYD	157.666	3	29.996	87.03	1	401.762
ENSG00000009780	FAM76A	66.437	695.001	264.717	35.378	813.001	7.109
ENSG00000009790	TRAF3IP3	150.711	5	90.192	73.618	9	742.86
ENSG00000009830	POMT2	416.561	185	132.337	38.679	192	40.518
ENSG00000009844	VTA1	247.586	1365	373.831	408.721	1143	98.635
ENSG00000009950	MLXIPL	219.544	11	177.926	58.573	14	15.837
ENSG00000009954	BAZ1B	134.021	4120	310.592	416.702	3376	406.055
ENSG00000010017	RANBP9	54.962	2011	328.776	122.992	1578	550.102
ENSG00000010030	ETV7	128.255	63	709.471	181.129	122	189.248
ENSG00000010072	SPRTN	172.009	614	94.843	764.77	506.999	9.236
ENSG00000010165	METTL13	260.377	888	486.687	580.309	607.001	136.97
ENSG00000010219	DYRK4	310.998	231.999	26.505	311.547	228.001	536.891
ENSG00000010244	ZNF207	68.145	3812.999	97.496	179.261	3730.001	7.542
ENSG00000010256	UQCRC1	215.959	4351.001	769.697	190.6	3677.001	227.263
ENSG00000010270	STARD3NL	9.876	292	130.883	25.656	302.001	420.199
ENSG00000010278	CD9	283.45	12720	70.913	113.474	11655.999	148.952
ENSG00000010282	HHATL	258.5	0	188.587	109.447	16	783.002
ENSG00000010292	NCAPD2	251.922	2016	72.793	501.073	1154.999	738.575
ENSG00000010295	IFFO1	340.573	145.999	88.329	45.564	198.998	38.984
ENSG00000010310	GIPR	243.638	9	341.981	132.552	13	68.27
ENSG00000010318	PHF7	180.734	178.999	450.025	62.639	126	66.471
ENSG00000010319	SEMA3G	57.277	51	163.664	63.269	98	87.896
ENSG00000010322	NISCH	116.066	4143.001	252.676	367.45	4189.999	98.155
ENSG00000010327	STAB1	625.371	137	240.23	427.265	390.999	194.726
ENSG00000010361	FUZ	127.654	352.999	160.023	340.461	258	328.732
ENSG00000010379	SLC6A13	72.537	1	249.902	366.703	0	112.389
ENSG00000010404	IDS	147.613	4247.379	472.945	693.462	3711.809	148.512
ENSG00000010438	PRSS3	183.102	0	43.655	356.64	0	296.53
ENSG00000010539	ZNF200	46.973	287	102.897	276.82	197	455.301
ENSG00000010610	CD4	32.099	358	170.512	24.822	336.001	207.886
ENSG00000010626	LRRC23	22.111	264.781	144.091	21.754	214.516	218.213
ENSG00000010671	BTK	321.805	27	138.05	230.416	28.999	87.834
ENSG00000010704	HFE	48.342	153	181.201	518.457	247.001	147.62
ENSG00000010803	SCMH1	100.876	1045.001	675.416	398.037	685	355.564
ENSG00000010810	FYN	62.939	305.999	113.195	296.061	437	90.669
ENSG00000010818	HIVEP2	151.038	2580	530.231	337.47	2546	382.946
ENSG00000010932	FMO1	244.239	182	98.853	449.808	358	26.133
ENSG00000011007	ELOA	315.499	1782	63.659	534.865	1743.999	134.962
ENSG00000011009	LYPLA2	547.326	1279.999	248.445	121.092	1159.001	321.275
ENSG00000011021	CLCN6	180.93	497.001	121.566	38.475	428	156.61
ENSG00000011028	MRC2	18.255	10129	220.47	49.075	11082	77.011
ENSG00000011052	NME1-NME2	351.857	94.237	161.13	319.797	80.323	256.401
ENSG00000011083	SLC6A7	126.424	0	336.859	232.26	0	143.52
ENSG00000011105	TSPAN9	85.087	2381.999	40.523	30.413	1565	48.052
ENSG00000011114	BTBD7	88.812	1961	22.186	113.602	1253.999	32.433
ENSG00000011132	APBA3	38.458	304	88.656	190.708	279	26.779
ENSG00000011143	MKS1	138.617	326.999	152.547	13.076	226.999	266.754
ENSG00000011198	ABHD5	55.406	940	193.61	107.906	679	22.519
ENSG00000011201	ANOS1	149.778	1145	126.109	175.638	766.997	78.748
ENSG00000011243	AKAP8L	157.578	1229.999	114.838	468.287	1382	248.272
ENSG00000011258	MBTD1	214.365	754	215.736	178.386	534.999	176.59
ENSG00000011260	UTP18	130.987	587.001	122.78	201.601	611	263.681
ENSG00000011275	RNF216	89.448	1597.001	503.341	30.435	1336	187.085
ENSG00000011295	TTC19	37.631	1067	242.164	543.586	904	706.163
ENSG00000011304	PTBP1	168.722	6070	411.868	406.456	6003.999	178.744
ENSG00000011332	DPF1	344.28	1	418.501	83.45	0	501.518
ENSG00000011347	SYT7	244.476	223	96.495	167.13	166.001	409.114
ENSG00000011376	LARS2	153.459	622	255.784	148.814	610	121.352
ENSG00000011405	PIK3C2A	74.489	2427	225.738	90.212	2103	124.42
ENSG00000011422	PLAUR	222.435	110	471.353	299.229	140	125.873
ENSG00000011426	ANLN	685.582	334	177.485	674.845	397	161.711
ENSG00000011451	WIZ	129.258	1470.999	276.056	47.711	1195.999	15.798
ENSG00000011454	RABGAP1	66.827	3271.001	174.366	413.486	2664.001	230.66
ENSG00000011465	DCN	94.483	167944.001	214.744	801.544	200502.001	102.421
ENSG00000011478	QPCTL	379.323	367.999	32.088	235.506	260.999	66.796
ENSG00000011485	PPP5C	219.037	1541	28.315	315.261	1381	170.187
ENSG00000011523	CEP68	101.839	740	79.993	157.818	929	184.839
ENSG00000011566	MAP4K3	180.549	1257	144.878	179.154	1158	67.405
ENSG00000011590	ZBTB32	261.025	1	12.368	62.428	0	575.849
ENSG00000011600	TYROBP	156.19	45	67.951	56.132	60.001	256.867
ENSG00000011638	LDAF1	242.347	2244.001	149.099	78.321	1338	160.86
ENSG00000011677	GABRA3	771.721	50	518.385	221.774	17	402.606
ENSG00000012048	BRCA1	168.914	172.999	97.01	112.417	148.999	23.495
ENSG00000012061	ERCC1	209.327	2035.001	145.491	137.578	2002	581.921
ENSG00000012124	CD22	481.453	8	83.224	146.336	1	85.656
ENSG00000012171	SEMA3B	266.793	903.001	28.435	795.145	1306.001	228.392
ENSG00000012174	MBTPS2	127.172	651	104.123	201.607	759.321	119.748
ENSG00000012211	PRICKLE3	193.566	633.001	114.077	106.077	595.999	155.17
ENSG00000012223	LTF	154.882	0	181.241	15.479	4	611.276
ENSG00000012232	EXTL3	94.503	1446	293.211	243.189	770	76.886
ENSG00000012504	NR1H4	448.3	2	285.717	317.398	2	382.9
ENSG00000012660	ELOVL5	72.372	321	133.718	261.515	442	287.782
ENSG00000012779	ALOX5	9.73	170	93.894	325.397	87	90.804
ENSG00000012817	KDM5D	297.582	647	168.409	30.447	955	121.747
ENSG00000012822	CALCOCO1	121.138	2732.001	252.103	275.07	2843	396.857
ENSG00000012963	UBR7	125.571	742.001	52.569	128.36	602	66.359
ENSG00000012983	MAP4K5	28.872	2205.001	155.122	188.567	1872	96.688
ENSG00000013016	EHD3	80.617	3388	94.493	381.546	2826	130.151
ENSG00000013275	PSMC4	176.967	1602	268.871	109.008	1345.001	4.021
ENSG00000013288	MAN2B2	261.211	2496	416.105	159.442	2375	303.387
ENSG00000013293	SLC7A14	603.774	16	630.828	439.597	17	59.443
ENSG00000013297	CLDN11	94.833	1242.354	8.96	93.474	1478.001	315.767
ENSG00000013306	SLC25A39	19.961	2074	13.127	227.082	1687.999	138.884
ENSG00000013364	MVP	265.301	4656.422	222.02	13.136	5318.35	99.639
ENSG00000013374	NUB1	124.56	1359.999	188.68	198.584	1191.001	64.828
ENSG00000013375	PGM3	76.802	955	108.985	67.498	857	187.538
ENSG00000013392	RWDD2A	197.023	191	454.997	237.848	162	318.611
ENSG00000013441	CLK1	57.464	1378.001	340.965	470.718	1712.001	82.773
ENSG00000013503	POLR3B	239.684	424	151.257	267.444	342	116.38
ENSG00000013523	ANGEL1	255.284	1310	248.499	87.973	517.999	749.679
ENSG00000013561	RNF14	123.694	1437.001	81.54	189.429	1285.001	90.463
ENSG00000013563	DNASE1L1	115.575	661.001	268.983	59.534	864.999	526.083
ENSG00000013573	DDX11	34.17	380.994	233.957	160.353	546.419	219.599
ENSG00000013583	HEBP1	164.646	776	14.879	99.048	700	121.229
ENSG00000013588	GPRC5A	263.881	2494	131.377	247.625	1302.001	348.844
ENSG00000013619	MAMLD1	186.63	334	19.594	7.842	325	156.383
ENSG00000013725	CD6	325.061	2	97.427	299.792	16	154.512
ENSG00000013810	TACC3	516.594	168	251.674	218.126	169	627.41
ENSG00000014123	UFL1	437.239	1576	415.261	201.565	1218	107.326
ENSG00000014138	POLA2	421.877	221.815	60.138	112.096	200.706	156.921
ENSG00000014164	ZC3H3	561.349	701	14.077	136.785	660	265.11
ENSG00000014216	CAPN1	132.938	19045.999	115.69	140.624	16395.003	60.09
ENSG00000014257	ACP3	43.941	563.999	12.969	882.767	373	241.38
ENSG00000014641	MDH1	171.778	1918.001	107.598	106.607	1827.001	122.856
ENSG00000014824	SLC30A9	200.789	1302	217.936	160.615	1143.001	66.01
ENSG00000014914	MTMR11	125	311	235.84	103.8	274	391.497
ENSG00000014919	COX15	485.042	1240.199	123.665	305.475	835.849	123.826
ENSG00000015133	CCDC88C	127.939	172.999	82.268	118.679	390	86.721
ENSG00000015153	YAF2	27.187	319.999	540.878	251.755	264	226.762
ENSG00000015171	ZMYND11	47.071	2689.999	561.554	207.76	2626.001	233.646
ENSG00000015285	WAS	279.743	28	59.653	127.128	39	656.828
ENSG00000015413	DPEP1	130.606	0	6.693	185.129	1	224.728
ENSG00000015475	BID	116.099	306	127.453	1242.099	362.001	135.915
ENSG00000015479	MATR3	450.229	6530.822	154.455	66.351	6292.533	63.021
ENSG00000015520	NPC1L1	135.131	1	196.373	514.531	3	196.543
ENSG00000015532	XYLT2	153.237	1496	86.899	363.57	1212	72.488
ENSG00000015568	RGPD5	138.291	647.586	346.973	40.362	635.207	127.744
ENSG00000015592	STMN4	231.027	0	366.427	63.03	3	46.021
ENSG00000015676	NUDCD3	219.414	2644	332.162	167.443	2159	247.698
ENSG00000016082	ISL1	328.487	0	44.538	241.605	0	118.438
ENSG00000016391	CHDH	630.233	202	78.55	611.402	153	201.506
ENSG00000016402	IL20RA	60.385	4067.001	49.689	16.077	2533	202.724
ENSG00000016490	CLCA1	371.882	0	394.594	358.299	0	527.699
ENSG00000016602	CLCA4	37.897	2167	521.849	319.851	1792	122.831
ENSG00000016864	GLT8D1	112.403	795.999	59.149	167.9	706	148.026
ENSG00000017260	ATP2C1	82.45	2583.998	56.846	228.477	2068.999	151.103
ENSG00000017427	IGF1	325.901	17	395.684	281.441	88	82.882
ENSG00000017483	SLC38A5	369.19	36.001	142.907	245.91	53	291.557
